trial_id,observer_id,observer_cohort,evaluation_dimension,artwork_id,left_method,right_method,selected_position,winner_method,loser_method
T002653,N04,Student,Style Authenticity,IMG20260430104352,DDColor,M1,Left,DDColor,M1
T002654,N04,Student,Visual Harmony,IMG20260430103113,Reinhard,M4,Right,M4,Reinhard
T002655,N04,Student,Visual Harmony,IMG20260430103755,M0,Reinhard,Left,M0,Reinhard
T002656,N04,Student,Visual Harmony,IMG20260430103113,DDColor,M4,Right,M4,DDColor
T002657,N04,Student,Style Authenticity,IMG20260430104410,M4,M0,Right,M0,M4
T002658,N04,Student,Style Authenticity,IMG20260430103043,M4,M0,Right,M0,M4
T002659,N04,Student,Visual Harmony,IMG20260430104113,M1,M0,Right,M0,M1
T002660,N04,Student,Style Authenticity,IMG20260430104348,Reinhard,M1,Right,M1,Reinhard
T002661,N04,Student,Style Authenticity,IMG20260430103435,M0,M1,Left,M0,M1
T002662,N04,Student,Visual Harmony,IMG20260430110350,Reinhard,M4,Left,Reinhard,M4
T002663,N04,Student,Style Authenticity,IMG20260430102902,M0,M1,Left,M0,M1
T002664,N04,Student,Visual Harmony,IMG20260430104410,M1,Reinhard,Left,M1,Reinhard
T002665,N04,Student,Style Authenticity,IMG20260430103656,M4,M1,Left,M4,M1
T002666,N04,Student,Visual Harmony,IMG20260430110350,DDColor,M4,Right,M4,DDColor
T002667,N04,Student,Style Authenticity,IMG20260430103755,M0,M1,Left,M0,M1
T002668,N04,Student,Visual Harmony,IMG20260430103113,DDColor,Reinhard,Right,Reinhard,DDColor
T002669,N04,Student,Visual Harmony,IMG20260430103656,M1,M4,Right,M4,M1
T002670,N04,Student,Style Authenticity,IMG20260430104348,M4,M1,Left,M4,M1
T002671,N04,Student,Visual Harmony,IMG20260430104410,Reinhard,M4,Right,M4,Reinhard
T002672,N04,Student,Visual Harmony,IMG20260430103755,M0,M1,Right,M1,M0
T002673,N04,Student,Style Authenticity,IMG20260430104352,M4,M1,Left,M4,M1
T002674,N04,Student,Style Authenticity,IMG20260430103043,M0,Reinhard,Left,M0,Reinhard
T002675,N04,Student,Visual Harmony,IMG20260430103043,M4,Reinhard,Left,M4,Reinhard
T002676,N04,Student,Visual Harmony,IMG20260430103043,Reinhard,M1,Left,Reinhard,M1
T002677,N04,Student,Visual Harmony,IMG20260430104352,M4,M0,Right,M0,M4
T002678,N04,Student,Style Authenticity,IMG20260430104348,M4,M0,Left,M4,M0
T002679,N04,Student,Style Authenticity,IMG20260430110350,M0,M4,Right,M4,M0
T002680,N04,Student,Style Authenticity,IMG20260430103043,DDColor,M4,Left,DDColor,M4
T002681,N04,Student,Style Authenticity,IMG20260430103043,DDColor,M0,Right,M0,DDColor
T002682,N04,Student,Style Authenticity,IMG20260430102902,Reinhard,M1,Right,M1,Reinhard
T002683,N04,Student,Visual Harmony,IMG20260430103755,Reinhard,M4,Right,M4,Reinhard
T002684,N04,Student,Style Authenticity,IMG20260430103656,Reinhard,M0,Right,M0,Reinhard
T002685,N04,Student,Style Authenticity,IMG20260430102920,M0,DDColor,Left,M0,DDColor
T002686,N04,Student,Visual Harmony,IMG20260430103435,DDColor,M1,Right,M1,DDColor
T002687,N04,Student,Style Authenticity,IMG20260430103755,DDColor,Reinhard,Left,DDColor,Reinhard
T002688,N04,Student,Visual Harmony,IMG20260430104113,M4,DDColor,Left,M4,DDColor
T002689,N04,Student,Visual Harmony,IMG20260430104410,DDColor,M0,Left,DDColor,M0
T002690,N04,Student,Visual Harmony,IMG20260430110350,M4,M1,Left,M4,M1
T002691,N04,Student,Visual Harmony,IMG20260430104348,M1,Reinhard,Left,M1,Reinhard
T002692,N04,Student,Style Authenticity,IMG20260430103113,M0,M4,Right,M4,M0
T002693,N04,Student,Style Authenticity,IMG20260430104113,Reinhard,M4,Right,M4,Reinhard
T002694,N04,Student,Visual Harmony,IMG20260430102920,M4,M1,Left,M4,M1
T002695,N04,Student,Style Authenticity,IMG20260430103043,M1,DDColor,Left,M1,DDColor
T002696,N04,Student,Style Authenticity,IMG20260430110350,Reinhard,M4,Left,Reinhard,M4
T002697,N04,Student,Style Authenticity,IMG20260430103113,M1,Reinhard,Right,Reinhard,M1
T002698,N04,Student,Visual Harmony,IMG20260430103043,M1,M0,Right,M0,M1
T002699,N04,Student,Visual Harmony,IMG20260430110350,M0,M4,Right,M4,M0
T002700,N04,Student,Visual Harmony,IMG20260430104113,M1,Reinhard,Left,M1,Reinhard
T002701,N04,Student,Visual Harmony,IMG20260430103113,Reinhard,M0,Right,M0,Reinhard
T002702,N04,Student,Visual Harmony,IMG20260430103656,M0,Reinhard,Left,M0,Reinhard
T002703,N04,Student,Style Authenticity,IMG20260430102902,DDColor,M1,Right,M1,DDColor
T002704,N04,Student,Visual Harmony,IMG20260430104348,Reinhard,M4,Left,Reinhard,M4
T002705,N04,Student,Style Authenticity,IMG20260430102920,M4,M0,Right,M0,M4
T002706,N04,Student,Visual Harmony,IMG20260430104348,M0,Reinhard,Left,M0,Reinhard
T002707,N04,Student,Visual Harmony,IMG20260430103656,M1,M0,Left,M1,M0
T002708,N04,Student,Style Authenticity,IMG20260430110350,DDColor,M4,Right,M4,DDColor
T002709,N04,Student,Style Authenticity,IMG20260430103435,M0,M4,Right,M4,M0
T002710,N04,Student,Visual Harmony,IMG20260430102902,Reinhard,M4,Right,M4,Reinhard
T002711,N04,Student,Visual Harmony,IMG20260430104113,M0,M4,Left,M0,M4
T002712,N04,Student,Visual Harmony,IMG20260430103755,M1,Reinhard,Left,M1,Reinhard
T002713,N04,Student,Style Authenticity,IMG20260430102902,M4,DDColor,Left,M4,DDColor
T002714,N04,Student,Style Authenticity,IMG20260430104348,Reinhard,DDColor,Right,DDColor,Reinhard
T002715,N04,Student,Style Authenticity,IMG20260430110350,Reinhard,M1,Right,M1,Reinhard
T002716,N04,Student,Visual Harmony,IMG20260430102920,M1,M0,Left,M1,M0
T002717,N04,Student,Style Authenticity,IMG20260430102902,Reinhard,M0,Right,M0,Reinhard
T002718,N04,Student,Style Authenticity,IMG20260430103656,DDColor,Reinhard,Left,DDColor,Reinhard
T002719,N04,Student,Visual Harmony,IMG20260430102902,M4,M0,Right,M0,M4
T002720,N04,Student,Style Authenticity,IMG20260430104113,Reinhard,M0,Right,M0,Reinhard
T002721,N04,Student,Visual Harmony,IMG20260430104113,M1,M4,Left,M1,M4
T002722,N04,Student,Visual Harmony,IMG20260430103113,M0,M4,Left,M0,M4
T002723,N04,Student,Visual Harmony,IMG20260430103435,M0,DDColor,Left,M0,DDColor
T002724,N04,Student,Style Authenticity,IMG20260430110350,M0,Reinhard,Left,M0,Reinhard
T002725,N04,Student,Visual Harmony,IMG20260430104410,M4,M1,Left,M4,M1
T002726,N04,Student,Visual Harmony,IMG20260430103755,DDColor,M1,Right,M1,DDColor
T002727,N04,Student,Style Authenticity,IMG20260430102902,M4,M1,Left,M4,M1
T002728,N04,Student,Style Authenticity,IMG20260430104348,M1,DDColor,Right,DDColor,M1
T002729,N04,Student,Style Authenticity,IMG20260430103435,Reinhard,DDColor,Left,Reinhard,DDColor
T002730,N04,Student,Style Authenticity,IMG20260430104113,M4,M1,Left,M4,M1
T002731,N04,Student,Visual Harmony,IMG20260430103435,Reinhard,M0,Right,M0,Reinhard
T002732,N04,Student,Style Authenticity,IMG20260430104113,M0,DDColor,Right,DDColor,M0
T002733,N04,Student,Style Authenticity,IMG20260430102920,M1,Reinhard,Left,M1,Reinhard
T002734,N04,Student,Style Authenticity,IMG20260430104410,DDColor,Reinhard,Left,DDColor,Reinhard
T002735,N04,Student,Style Authenticity,IMG20260430102920,Reinhard,DDColor,Left,Reinhard,DDColor
T002736,N04,Student,Visual Harmony,IMG20260430104352,M1,DDColor,Right,DDColor,M1
T002737,N04,Student,Visual Harmony,IMG20260430103113,DDColor,M1,Left,DDColor,M1
T002738,N04,Student,Visual Harmony,IMG20260430103656,M4,M0,Left,M4,M0
T002739,N04,Student,Visual Harmony,IMG20260430103755,M0,M4,Left,M0,M4
T002740,N04,Student,Style Authenticity,IMG20260430103755,M0,DDColor,Left,M0,DDColor
T002741,N04,Student,Visual Harmony,IMG20260430103755,DDColor,M4,Right,M4,DDColor
T002742,N04,Student,Visual Harmony,IMG20260430102902,M0,M1,Right,M1,M0
T002743,N04,Student,Visual Harmony,IMG20260430104348,M0,DDColor,Left,M0,DDColor
T002744,N04,Student,Visual Harmony,IMG20260430102920,Reinhard,M0,Left,Reinhard,M0
T002745,N04,Student,Style Authenticity,IMG20260430103755,DDColor,M1,Left,DDColor,M1
T002746,N04,Student,Style Authenticity,IMG20260430102902,Reinhard,M4,Right,M4,Reinhard
T002747,N04,Student,Visual Harmony,IMG20260430104352,M0,Reinhard,Left,M0,Reinhard
T002748,N04,Student,Style Authenticity,IMG20260430102920,Reinhard,M0,Right,M0,Reinhard
T002749,N04,Student,Visual Harmony,IMG20260430110350,Reinhard,M1,Right,M1,Reinhard
T002750,N04,Student,Style Authenticity,IMG20260430104410,M1,M4,Right,M4,M1
T002751,N04,Student,Visual Harmony,IMG20260430102920,M4,M0,Left,M4,M0
T002752,N04,Student,Style Authenticity,IMG20260430104352,M4,M0,Right,M0,M4
T002753,N04,Student,Visual Harmony,IMG20260430103113,M1,M4,Right,M4,M1
T002754,N04,Student,Style Authenticity,IMG20260430104113,M0,M1,Left,M0,M1
T002755,N04,Student,Style Authenticity,IMG20260430104352,DDColor,M4,Right,M4,DDColor
T002756,N04,Student,Visual Harmony,IMG20260430104348,M4,DDColor,Left,M4,DDColor
T002757,N04,Student,Style Authenticity,IMG20260430103755,M4,M0,Right,M0,M4
T002758,N04,Student,Style Authenticity,IMG20260430110350,M4,M1,Left,M4,M1
T002759,N04,Student,Visual Harmony,IMG20260430104410,M1,M0,Left,M1,M0
T002760,N04,Student,Style Authenticity,IMG20260430103113,M0,M1,Right,M1,M0
T002761,N04,Student,Visual Harmony,IMG20260430104348,M0,M1,Right,M1,M0
T002762,N04,Student,Visual Harmony,IMG20260430103043,DDColor,M0,Left,DDColor,M0
T002763,N04,Student,Style Authenticity,IMG20260430104348,DDColor,M0,Right,M0,DDColor
T002764,N04,Student,Style Authenticity,IMG20260430103113,DDColor,M0,Right,M0,DDColor
T002765,N04,Student,Style Authenticity,IMG20260430104352,Reinhard,M4,Right,M4,Reinhard
T002766,N04,Student,Visual Harmony,IMG20260430102920,DDColor,M1,Right,M1,DDColor
T002767,N04,Student,Visual Harmony,IMG20260430103043,DDColor,M4,Right,M4,DDColor
T002768,N04,Student,Visual Harmony,IMG20260430104352,DDColor,Reinhard,Left,DDColor,Reinhard
T002769,N04,Student,Visual Harmony,IMG20260430110350,M0,DDColor,Right,DDColor,M0
T002770,N04,Student,Style Authenticity,IMG20260430103755,DDColor,M4,Right,M4,DDColor
T002771,N04,Student,Visual Harmony,IMG20260430103656,DDColor,M4,Right,M4,DDColor
T002772,N04,Student,Visual Harmony,IMG20260430104348,DDColor,M1,Right,M1,DDColor
T002773,N04,Student,Visual Harmony,IMG20260430102920,M4,Reinhard,Left,M4,Reinhard
T002774,N04,Student,Style Authenticity,IMG20260430103656,DDColor,M4,Right,M4,DDColor
T002775,N04,Student,Style Authenticity,IMG20260430103043,DDColor,Reinhard,Left,DDColor,Reinhard
T002776,N04,Student,Visual Harmony,IMG20260430102920,M1,Reinhard,Right,Reinhard,M1
T002777,N04,Student,Visual Harmony,IMG20260430103435,M4,Reinhard,Right,Reinhard,M4
T002778,N04,Student,Style Authenticity,IMG20260430103113,Reinhard,M4,Right,M4,Reinhard
T002779,N04,Student,Style Authenticity,IMG20260430102902,M0,DDColor,Right,DDColor,M0
T002780,N04,Student,Visual Harmony,IMG20260430102902,DDColor,Reinhard,Left,DDColor,Reinhard
T002781,N04,Student,Visual Harmony,IMG20260430103656,DDColor,M1,Right,M1,DDColor
T002782,N04,Student,Style Authenticity,IMG20260430110350,Reinhard,DDColor,Right,DDColor,Reinhard
T002783,N04,Student,Visual Harmony,IMG20260430102902,M1,Reinhard,Right,Reinhard,M1
T002784,N04,Student,Visual Harmony,IMG20260430103435,M1,M4,Right,M4,M1
T002785,N04,Student,Style Authenticity,IMG20260430102920,M0,M1,Left,M0,M1
T002786,N04,Student,Visual Harmony,IMG20260430104348,DDColor,Reinhard,Right,Reinhard,DDColor
T002787,N04,Student,Visual Harmony,IMG20260430103435,DDColor,M4,Right,M4,DDColor
T002788,N04,Student,Visual Harmony,IMG20260430103435,Reinhard,M1,Right,M1,Reinhard
T002789,N04,Student,Style Authenticity,IMG20260430103043,M1,M4,Right,M4,M1
T002790,N04,Student,Style Authenticity,IMG20260430103656,M1,Reinhard,Right,Reinhard,M1
T002791,N04,Student,Visual Harmony,IMG20260430103435,M4,M0,Right,M0,M4
T002792,N04,Student,Style Authenticity,IMG20260430103755,M0,Reinhard,Left,M0,Reinhard
T002793,N04,Student,Style Authenticity,IMG20260430104410,M1,Reinhard,Right,Reinhard,M1
T002794,N04,Student,Style Authenticity,IMG20260430102920,Reinhard,M4,Right,M4,Reinhard
T002795,N04,Student,Visual Harmony,IMG20260430103435,Reinhard,DDColor,Left,Reinhard,DDColor
T002796,N04,Student,Visual Harmony,IMG20260430110350,M1,M0,Left,M1,M0
T002797,N04,Student,Visual Harmony,IMG20260430103656,DDColor,Reinhard,Left,DDColor,Reinhard
T002798,N04,Student,Style Authenticity,IMG20260430104113,M1,DDColor,Left,M1,DDColor
T002799,N04,Student,Visual Harmony,IMG20260430103043,Reinhard,DDColor,Right,DDColor,Reinhard
T002800,N04,Student,Style Authenticity,IMG20260430102902,M0,M4,Right,M4,M0
T002801,N04,Student,Visual Harmony,IMG20260430102920,M0,DDColor,Left,M0,DDColor
T002802,N04,Student,Style Authenticity,IMG20260430104348,M4,DDColor,Left,M4,DDColor
T002803,N04,Student,Style Authenticity,IMG20260430110350,DDColor,M1,Right,M1,DDColor
T002804,N04,Student,Style Authenticity,IMG20260430103755,M4,Reinhard,Left,M4,Reinhard
T002805,N04,Student,Visual Harmony,IMG20260430104352,M0,M1,Right,M1,M0
T002806,N04,Student,Style Authenticity,IMG20260430103435,M4,M1,Left,M4,M1
T002807,N04,Student,Style Authenticity,IMG20260430104113,M0,M4,Right,M4,M0
T002808,N04,Student,Visual Harmony,IMG20260430104352,M0,DDColor,Right,DDColor,M0
T002809,N04,Student,Style Authenticity,IMG20260430103043,M4,Reinhard,Right,Reinhard,M4
T002810,N04,Student,Visual Harmony,IMG20260430102902,M1,DDColor,Right,DDColor,M1
T002811,N04,Student,Style Authenticity,IMG20260430103113,M1,DDColor,Left,M1,DDColor
T002812,N04,Student,Style Authenticity,IMG20260430103656,M0,DDColor,Left,M0,DDColor
T002813,N04,Student,Visual Harmony,IMG20260430104352,DDColor,M4,Right,M4,DDColor
T002814,N04,Student,Visual Harmony,IMG20260430103043,M4,M0,Left,M4,M0
T002815,N04,Student,Style Authenticity,IMG20260430103113,M4,M1,Left,M4,M1
T002816,N04,Student,Visual Harmony,IMG20260430103656,M0,DDColor,Left,M0,DDColor
T002817,N04,Student,Style Authenticity,IMG20260430103113,Reinhard,DDColor,Right,DDColor,Reinhard
T002818,N04,Student,Visual Harmony,IMG20260430104348,M1,M4,Right,M4,M1
T002819,N04,Student,Visual Harmony,IMG20260430103656,M4,Reinhard,Right,Reinhard,M4
T002820,N04,Student,Style Authenticity,IMG20260430104352,Reinhard,DDColor,Right,DDColor,Reinhard
T002821,N04,Student,Visual Harmony,IMG20260430104352,M4,Reinhard,Right,Reinhard,M4
T002822,N04,Student,Visual Harmony,IMG20260430103656,Reinhard,M1,Right,M1,Reinhard
T002823,N04,Student,Style Authenticity,IMG20260430103656,M1,DDColor,Left,M1,DDColor
T002824,N04,Student,Visual Harmony,IMG20260430104410,DDColor,Reinhard,Right,Reinhard,DDColor
T002825,N04,Student,Style Authenticity,IMG20260430102920,DDColor,M4,Right,M4,DDColor
T002826,N04,Student,Style Authenticity,IMG20260430102902,Reinhard,DDColor,Left,Reinhard,DDColor
T002827,N04,Student,Visual Harmony,IMG20260430104113,M4,Reinhard,Left,M4,Reinhard
T002828,N04,Student,Style Authenticity,IMG20260430103113,Reinhard,M0,Right,M0,Reinhard
T002829,N04,Student,Visual Harmony,IMG20260430102902,Reinhard,M0,Right,M0,Reinhard
T002830,N04,Student,Visual Harmony,IMG20260430103043,M0,Reinhard,Left,M0,Reinhard
T002831,N04,Student,Visual Harmony,IMG20260430104352,M4,M1,Left,M4,M1
T002832,N04,Student,Visual Harmony,IMG20260430103043,M1,DDColor,Left,M1,DDColor
T002833,N04,Student,Visual Harmony,IMG20260430110350,Reinhard,M0,Right,M0,Reinhard
T002834,N04,Student,Visual Harmony,IMG20260430104113,Reinhard,DDColor,Right,DDColor,Reinhard
T002835,N04,Student,Style Authenticity,IMG20260430104348,M1,M0,Right,M0,M1
T002836,N04,Student,Visual Harmony,IMG20260430104348,M0,M4,Left,M0,M4
T002837,N04,Student,Visual Harmony,IMG20260430103113,Reinhard,M1,Right,M1,Reinhard
T002838,N04,Student,Style Authenticity,IMG20260430104113,DDColor,Reinhard,Right,Reinhard,DDColor
T002839,N04,Student,Visual Harmony,IMG20260430103755,M0,DDColor,Right,DDColor,M0
T002840,N04,Student,Style Authenticity,IMG20260430104410,M4,DDColor,Left,M4,DDColor
T002841,N04,Student,Style Authenticity,IMG20260430103435,M4,DDColor,Left,M4,DDColor
T002842,N04,Student,Style Authenticity,IMG20260430104352,M0,DDColor,Left,M0,DDColor
T002843,N04,Student,Visual Harmony,IMG20260430104410,M4,DDColor,Left,M4,DDColor
T002844,N04,Student,Style Authenticity,IMG20260430103113,M4,DDColor,Right,DDColor,M4
T002845,N04,Student,Visual Harmony,IMG20260430110350,Reinhard,DDColor,Right,DDColor,Reinhard
T002846,N04,Student,Style Authenticity,IMG20260430103755,Reinhard,M1,Left,Reinhard,M1
T002847,N04,Student,Visual Harmony,IMG20260430104410,M0,Reinhard,Left,M0,Reinhard
T002848,N04,Student,Style Authenticity,IMG20260430104410,Reinhard,M0,Left,Reinhard,M0
T002849,N04,Student,Visual Harmony,IMG20260430104113,M1,DDColor,Left,M1,DDColor
T002850,N04,Student,Style Authenticity,IMG20260430104352,M0,M1,Right,M1,M0
T002851,N04,Student,Style Authenticity,IMG20260430103755,M4,M1,Left,M4,M1
T002852,N04,Student,Visual Harmony,IMG20260430103755,Reinhard,DDColor,Right,DDColor,Reinhard
T002853,N04,Student,Style Authenticity,IMG20260430104410,M4,Reinhard,Right,Reinhard,M4
T002854,N04,Student,Visual Harmony,IMG20260430102902,M4,DDColor,Right,DDColor,M4
T002855,N04,Student,Style Authenticity,IMG20260430104410,DDColor,M0,Left,DDColor,M0
T002856,N04,Student,Visual Harmony,IMG20260430104352,Reinhard,M1,Right,M1,Reinhard
T002857,N04,Student,Style Authenticity,IMG20260430102920,M4,M1,Left,M4,M1
T002858,N04,Student,Style Authenticity,IMG20260430110350,M1,M0,Left,M1,M0
T002859,N04,Student,Style Authenticity,IMG20260430103043,M0,M1,Right,M1,M0
T002860,N04,Student,Visual Harmony,IMG20260430102902,M1,M4,Left,M1,M4
T002861,N04,Student,Visual Harmony,IMG20260430103435,M1,M0,Left,M1,M0
T002862,N04,Student,Style Authenticity,IMG20260430103043,Reinhard,M1,Right,M1,Reinhard
T002863,N04,Student,Visual Harmony,IMG20260430102902,M0,DDColor,Right,DDColor,M0
T002864,N04,Student,Visual Harmony,IMG20260430102920,DDColor,M4,Right,M4,DDColor
T002865,N04,Student,Style Authenticity,IMG20260430103435,M1,Reinhard,Left,M1,Reinhard
T002866,N04,Student,Visual Harmony,IMG20260430103043,M4,M1,Left,M4,M1
T002867,N04,Student,Visual Harmony,IMG20260430103113,M0,M1,Left,M0,M1
T002868,N04,Student,Visual Harmony,IMG20260430104410,M0,M4,Left,M0,M4
T002869,N04,Student,Style Authenticity,IMG20260430104113,Reinhard,M1,Left,Reinhard,M1
T002870,N04,Student,Style Authenticity,IMG20260430104410,M1,DDColor,Left,M1,DDColor
T002871,N04,Student,Style Authenticity,IMG20260430104352,M1,Reinhard,Right,Reinhard,M1
T002872,N04,Student,Visual Harmony,IMG20260430104410,DDColor,M1,Right,M1,DDColor
T002873,N04,Student,Visual Harmony,IMG20260430104113,DDColor,M0,Right,M0,DDColor
T002874,N04,Student,Style Authenticity,IMG20260430102920,M1,DDColor,Right,DDColor,M1
T002875,N04,Student,Style Authenticity,IMG20260430103435,Reinhard,M4,Right,M4,Reinhard
T002876,N04,Student,Style Authenticity,IMG20260430103435,M0,DDColor,Left,M0,DDColor
T002877,N04,Student,Visual Harmony,IMG20260430102920,DDColor,Reinhard,Left,DDColor,Reinhard
T002878,N04,Student,Style Authenticity,IMG20260430110350,DDColor,M0,Left,DDColor,M0
T002879,N04,Student,Style Authenticity,IMG20260430103656,M4,Reinhard,Left,M4,Reinhard
T002880,N04,Student,Style Authenticity,IMG20260430104348,M0,Reinhard,Left,M0,Reinhard
T002881,N05,Student,Style Authenticity,IMG20260430110350,DDColor,M4,Right,M4,DDColor
T002882,N05,Student,Style Authenticity,IMG20260430103113,DDColor,Reinhard,Left,DDColor,Reinhard
T002883,N05,Student,Visual Harmony,IMG20260430103113,M1,M4,Right,M4,M1
T002884,N05,Student,Style Authenticity,IMG20260430102920,M1,M4,Left,M1,M4
T002885,N05,Student,Style Authenticity,IMG20260430103043,M4,M1,Left,M4,M1
T002886,N05,Student,Style Authenticity,IMG20260430104113,M1,M0,Right,M0,M1
T002887,N05,Student,Visual Harmony,IMG20260430103755,M1,M0,Right,M0,M1
T002888,N05,Student,Style Authenticity,IMG20260430103755,DDColor,M1,Left,DDColor,M1
T002889,N05,Student,Visual Harmony,IMG20260430104348,Reinhard,M0,Right,M0,Reinhard
T002890,N05,Student,Style Authenticity,IMG20260430103755,Reinhard,M0,Right,M0,Reinhard
T002891,N05,Student,Visual Harmony,IMG20260430104352,Reinhard,M4,Right,M4,Reinhard
T002892,N05,Student,Style Authenticity,IMG20260430104348,M1,M4,Right,M4,M1
T002893,N05,Student,Visual Harmony,IMG20260430103755,M4,M1,Left,M4,M1
T002894,N05,Student,Visual Harmony,IMG20260430103656,M0,Reinhard,Right,Reinhard,M0
T002895,N05,Student,Style Authenticity,IMG20260430103755,DDColor,M4,Right,M4,DDColor
T002896,N05,Student,Visual Harmony,IMG20260430103656,M1,DDColor,Left,M1,DDColor
T002897,N05,Student,Style Authenticity,IMG20260430104113,Reinhard,DDColor,Right,DDColor,Reinhard
T002898,N05,Student,Visual Harmony,IMG20260430103435,M0,Reinhard,Left,M0,Reinhard
T002899,N05,Student,Visual Harmony,IMG20260430104352,M0,M4,Left,M0,M4
T002900,N05,Student,Visual Harmony,IMG20260430102902,M4,DDColor,Left,M4,DDColor
T002901,N05,Student,Visual Harmony,IMG20260430103113,Reinhard,M4,Right,M4,Reinhard
T002902,N05,Student,Style Authenticity,IMG20260430103113,DDColor,M1,Right,M1,DDColor
T002903,N05,Student,Visual Harmony,IMG20260430110350,M1,DDColor,Left,M1,DDColor
T002904,N05,Student,Style Authenticity,IMG20260430104113,M1,DDColor,Left,M1,DDColor
T002905,N05,Student,Style Authenticity,IMG20260430110350,M0,M4,Left,M0,M4
T002906,N05,Student,Visual Harmony,IMG20260430102902,DDColor,M1,Right,M1,DDColor
T002907,N05,Student,Style Authenticity,IMG20260430104410,Reinhard,M4,Left,Reinhard,M4
T002908,N05,Student,Visual Harmony,IMG20260430103113,Reinhard,M1,Right,M1,Reinhard
T002909,N05,Student,Style Authenticity,IMG20260430103435,M1,DDColor,Left,M1,DDColor
T002910,N05,Student,Visual Harmony,IMG20260430103435,DDColor,M1,Left,DDColor,M1
T002911,N05,Student,Style Authenticity,IMG20260430103435,Reinhard,M0,Right,M0,Reinhard
T002912,N05,Student,Style Authenticity,IMG20260430104348,M0,M4,Left,M0,M4
T002913,N05,Student,Visual Harmony,IMG20260430110350,Reinhard,DDColor,Left,Reinhard,DDColor
T002914,N05,Student,Visual Harmony,IMG20260430103113,DDColor,Reinhard,Left,DDColor,Reinhard
T002915,N05,Student,Style Authenticity,IMG20260430110350,Reinhard,M4,Right,M4,Reinhard
T002916,N05,Student,Style Authenticity,IMG20260430104352,M0,Reinhard,Left,M0,Reinhard
T002917,N05,Student,Style Authenticity,IMG20260430104410,M1,M4,Right,M4,M1
T002918,N05,Student,Visual Harmony,IMG20260430103043,M4,M0,Left,M4,M0
T002919,N05,Student,Visual Harmony,IMG20260430104352,M0,Reinhard,Right,Reinhard,M0
T002920,N05,Student,Visual Harmony,IMG20260430104352,DDColor,M1,Right,M1,DDColor
T002921,N05,Student,Visual Harmony,IMG20260430104113,M4,Reinhard,Left,M4,Reinhard
T002922,N05,Student,Visual Harmony,IMG20260430103043,M0,DDColor,Left,M0,DDColor
T002923,N05,Student,Style Authenticity,IMG20260430102920,Reinhard,M4,Right,M4,Reinhard
T002924,N05,Student,Style Authenticity,IMG20260430103435,DDColor,M4,Right,M4,DDColor
T002925,N05,Student,Visual Harmony,IMG20260430103043,M4,M1,Left,M4,M1
T002926,N05,Student,Visual Harmony,IMG20260430102920,M4,Reinhard,Left,M4,Reinhard
T002927,N05,Student,Visual Harmony,IMG20260430103656,M4,M1,Left,M4,M1
T002928,N05,Student,Visual Harmony,IMG20260430102920,M1,M0,Left,M1,M0
T002929,N05,Student,Style Authenticity,IMG20260430104410,M4,DDColor,Left,M4,DDColor
T002930,N05,Student,Style Authenticity,IMG20260430110350,M0,Reinhard,Left,M0,Reinhard
T002931,N05,Student,Style Authenticity,IMG20260430103755,DDColor,Reinhard,Right,Reinhard,DDColor
T002932,N05,Student,Style Authenticity,IMG20260430110350,Reinhard,M1,Right,M1,Reinhard
T002933,N05,Student,Style Authenticity,IMG20260430110350,M1,DDColor,Left,M1,DDColor
T002934,N05,Student,Style Authenticity,IMG20260430102920,M0,M1,Left,M0,M1
T002935,N05,Student,Style Authenticity,IMG20260430103755,M1,Reinhard,Left,M1,Reinhard
T002936,N05,Student,Style Authenticity,IMG20260430102902,M1,DDColor,Left,M1,DDColor
T002937,N05,Student,Visual Harmony,IMG20260430104113,M4,M0,Left,M4,M0
T002938,N05,Student,Style Authenticity,IMG20260430102902,M0,M4,Right,M4,M0
T002939,N05,Student,Style Authenticity,IMG20260430104352,Reinhard,M4,Right,M4,Reinhard
T002940,N05,Student,Visual Harmony,IMG20260430102920,M1,Reinhard,Left,M1,Reinhard
T002941,N05,Student,Visual Harmony,IMG20260430102920,M0,DDColor,Left,M0,DDColor
T002942,N05,Student,Visual Harmony,IMG20260430110350,Reinhard,M0,Right,M0,Reinhard
T002943,N05,Student,Style Authenticity,IMG20260430104348,M4,Reinhard,Left,M4,Reinhard
T002944,N05,Student,Visual Harmony,IMG20260430104348,M4,DDColor,Left,M4,DDColor
T002945,N05,Student,Style Authenticity,IMG20260430104113,M1,Reinhard,Right,Reinhard,M1
T002946,N05,Student,Style Authenticity,IMG20260430102920,DDColor,Reinhard,Right,Reinhard,DDColor
T002947,N05,Student,Visual Harmony,IMG20260430103656,M4,DDColor,Right,DDColor,M4
T002948,N05,Student,Visual Harmony,IMG20260430103113,DDColor,M1,Left,DDColor,M1
T002949,N05,Student,Visual Harmony,IMG20260430103043,M0,Reinhard,Right,Reinhard,M0
T002950,N05,Student,Visual Harmony,IMG20260430104410,M4,M0,Left,M4,M0
T002951,N05,Student,Style Authenticity,IMG20260430104348,DDColor,Reinhard,Left,DDColor,Reinhard
T002952,N05,Student,Visual Harmony,IMG20260430103113,M4,DDColor,Left,M4,DDColor
T002953,N05,Student,Visual Harmony,IMG20260430104410,Reinhard,M0,Right,M0,Reinhard
T002954,N05,Student,Visual Harmony,IMG20260430103043,M4,Reinhard,Right,Reinhard,M4
